c. 2026 a.C.,c. 2026 a.C.,Casamento com Rebeca e morte de Sara,Isaque / Rebeca,Canaã,Harã,,
c. 1925 a.C.,c. 1850 a.C.,Vida de Isaque,Isaque,Canaã,,,
c. 1900 a.C.,c. 1900 a.C.,Venda da primogenitura e bênção paterna,Jacó / Esaú / Isaque,Canaã,,,
c. 1897 a.C.,c. 1897 a.C.,Destruição de Sodoma e Gomorra,Ló / Abraão,Canaã,Vale do Jordão,,
c. 1890 a.C.,c. 1890 a.C.,Sonho da Escada e fuga para Harã,Jacó,Canaã,Betel,,
c. 1870 a.C.,c. 1870 a.C.,Luta com o Anjo e mudança de nome para Israel,Jacó,Transjordânia,Peniel,,
c. 1870 a.C.,c. 1870 a.C.,Fuga de Harã e roubo dos ídolos terafins por Raquel,Raquel / Jacó / Labão,Gileade,Harã,,
c. 1860 a.C.,c. 1860 a.C.,Destruição de Siquém em defesa de Diná,Simeão / Levi,Canaã,Siquém,,
c. 1850 a.C.,c. 1750 a.C.,Estabelecimento dos Patriarcas e Patriarcado das Doze Tribos,"Rúben, Simeão, Levi, Judá, Dã, Naftali, Gade, Aser, Issacar, Zebulom, José, Benjamim",Egito,,,
c. 1850 a.C.,c. 1850 a.C.,"Profecia Patriarcal do Cetro de Judá (""O cetro não se afastará de Judá"")",Jacó / Judá,Egito,Gósen,,
c. 1850 a.C.,c. 1750 a.C.,Vida de Jacó (Israel),Jacó,Egito,,,
c. 1750 a.C.,c. 1650 a.C.,Ascensão de José,José,Canaã,,,
c. 1730 a.C.,c. 1730 a.C.,Nascimento de Peres (Ancestral direto da dinastia real),Judá / Tamar / Peres,Canaã,,,
c. 1650 a.C.,c. 1446 a.C.,Israelitas no Egito,Moisés,Egito,,,
c. 1446 a.C.,c. 1446 a.C.,"Incidente da circuncisão no alojamento (""Esposo de sangue"")",Sipora / Moisés / Gersom,Deserto de Midiã,,,
c. 1446 a.C.,c. 1446 a.C.,As Dez Pragas (Makkot) e a 1ª Páscoa (Pessach),Moisés / Arão / Faraó,Egito,,,
c. 1446 a.C.,c. 1446 a.C.,Abertura do Mar Vermelho (Kriat Yam Suf),Moisés,Mar Vermelho,,,
c. 1446 a.C.,c. 1406 a.C.,Êxodo e Peregrinação,Moisés,Egito,,,
c. 1446 a.C.,c. 1446 a.C.,Entrega da Torá no Monte Sinai (Matan Torá),Moisés / Povo de Israel,Deserto do Sinai,Monte Sinai,,
c. 1446 a.C.,c. 1446 a.C.,Batalha contra Amaleque e a sustentação dos braços de Moisés,Josué / Hur / Arão / Moisés,Deserto do Sinai,Rechidim ,,
c. 1446 a.C.,c. 1446 a.C.,Conselho de Jetro para a reorganização judiciária do acampamento,Jetro / Moisés,Deserto do Sinai,Monte Sinai,,
c. 1446 a.C.,c. 1406 a.C.,Sumo Sacerdócio de Arão,Arão (Sumo Sacerdote),Deserto do Sinai,Monte Sinai,,
c. 1446 a.C.,c. 1446 a.C.,Príncipe e chefe da Tribo de Rúben no Sinai,Elisur (filho de Sedeur),Deserto do Sinai,,,
c. 1446 a.C.,c. 1446 a.C.,Príncipe e chefe da Tribo de Simeão no Sinai,Selumiel (filho de Zurisadai),Deserto do Sinai,,,
c. 1446 a.C.,c. 1446 a.C.,Príncipe e chefe da Tribo de Judá no Sinai,Naassom (filho de Aminadabe),Deserto do Sinai,,,
c. 1446 a.C.,c. 1446 a.C.,Príncipe e chefe da Tribo de Issacar no Sinai,Netanel (filho de Zuar),Deserto do Sinai,,,
c. 1446 a.C.,c. 1446 a.C.,Príncipe e chefe da Tribo de Zebulom no Sinai,Eliabe (filho de Helom),Deserto do Sinai,,,
c. 1446 a.C.,c. 1446 a.C.,Príncipe e chefe da Tribo de Efraim no Sinai,Elisama (filho de Amiúde),Deserto do Sinai,,,
c. 1446 a.C.,c. 1446 a.C.,Príncipe e chefe da Tribo de Manassés no Sinai,Gamaliel (filho de Pedazur),Deserto do Sinai,,,
c. 1446 a.C.,c. 1446 a.C.,Príncipe e chefe da Tribo de Benjamim no Sinai,Abidã (filho de Gideoni),Deserto do Sinai,,,
c. 1446 a.C.,c. 1446 a.C.,Príncipe e chefe da Tribo de Dã no Sinai,Aiezer (filho de Amisadai),Deserto do Sinai,,,
c. 1446 a.C.,c. 1446 a.C.,Príncipe e chefe da Tribo de Aser no Sinai,Pagiel (filho de Ocrã),Deserto do Sinai,,,
c. 1446 a.C.,c. 1446 a.C.,Príncipe e chefe da Tribo de Gade no Sinai,Eliasafe (filho de Deuel),Deserto do Sinai,,,
c. 1446 a.C.,c. 1446 a.C.,Príncipe e chefe da Tribo de Naftali no Sinai,Aira (filho de Enã),Deserto do Sinai,,,
c. 1445 a.C.,c. 1445 a.C.,Pecado do Bezerro de Ouro (Chet HaEgel),Arão / Povo de Israel,Deserto do Sinai,,,
c. 1445 a.C.,c. 1445 a.C.,Pecado do Bezerro de Ouro (Chet HaEgel),Arão / Povo de Israel,Deserto do Sinai,,,
c. 1445 a.C.,c. 1445 a.C.,Construção do Tabernáculo (Mishkan),Bezalel / Aoliabe,Deserto do Sinai,,,
c. 1445 a.C.,c. 1445 a.C.,"Juízo sobre Nadabe e Abiú por oferecerem ""fogo estranho""",Nadabe / Abiú / Arão,Deserto do Sinai,,,
c. 1445 a.C.,c. 1445 a.C.,Praga das codornas e juízo em Kibroth-Hattaavah (Cobiça),Moisés / Povo de Israel,Deserto de Parã,,,
c. 1445 a.C.,c. 1445 a.C.,Murmuração de Miriã e Arão contra Moisés e lepra temporária,Miriã / Arão / Moisés,Deserto de Parã,Hazerote,,
c. 1444 a.C.,c. 1444 a.C.,Milagre da vara de Arão que floresceu para atestar o sacerdócio,Arão / Moisés,Deserto de Parã,,,
c. 1444 a.C.,c. 1444 a.C.,Missão dos 12 Espias (Meraglim) e o mau relato,Josué / Calebe,Cades-Barneia,,,
c. 1444 a.C.,c. 1444 a.C.,Espia representando a Tribo de Rúben,Samua (filho de Zacur),Cades-Barneia,,,
c. 1444 a.C.,c. 1444 a.C.,Espia representando a Tribo de Simeão,Safate (filho de Hori),Cades-Barneia,,,
c. 1444 a.C.,c. 1444 a.C.,Espia representando a Tribo de Judá,Calebe (filho de Jefoné),Cades-Barneia,,,
c. 1444 a.C.,c. 1444 a.C.,Espia representando a Tribo de Issacar,Igal (filho de José),Cades-Barneia,,,
c. 1444 a.C.,c. 1444 a.C.,Espia representando a Tribo de Efraim,Oseias / Josué (filho de Num),Cades-Barneia,,,
c. 1444 a.C.,c. 1444 a.C.,Espia representando a Tribo de Benjamim,Palti (filho de Rafu),Cades-Barneia,,,
c. 1444 a.C.,c. 1444 a.C.,Espia representando a Tribo de Zebulom,Gadiel (filho de Sodi),Cades-Barneia,,,
c. 1444 a.C.,c. 1444 a.C.,Espia representando a Tribo de Manassés,Gadi (filho de Susi),Cades-Barneia,,,
c. 1444 a.C.,c. 1444 a.C.,Espia representando a Tribo de Dã,Amiel (filho de Gemali),Cades-Barneia,,,
c. 1444 a.C.,c. 1444 a.C.,Espia representando a Tribo de Aser,Setur (filho de Micael),Cades-Barneia,,,
c. 1444 a.C.,c. 1444 a.C.,Espia representando a Tribo de Naftali,Nabi (filho de Vofsi),Cades-Barneia,,,
c. 1444 a.C.,c. 1444 a.C.,Espia representando a Tribo de Gade,Geuel (filho de Maqui),Cades-Barneia,,,
c. 1430 a.C.,c. 1430 a.C.,A Rebelião de Corá (Korá) contra a liderança,Corá / Datã / Abirão,Deserto de Parã,,,
c. 1406 a.C.,c. 1406 a.C.,Praga das serpentes abrasadoras e cura pela serpente de bronze,Moisés / Povo de Israel,Edom,,,
c. 1406 a.C.,c. 1406 a.C.,Aparição do Anjo e incidente da jumenta de Balaão,Balaão / Balaque,Moabe,,,
c. 1406 a.C.,c. 1406 a.C.,Apostasia em Baal-Peor e o zelo sacerdotal de Fineias,Fineias / Zinri / Cozbi,Moabe,Sitim,,
c. 1406 a.C.,c. 1406 a.C.,Reivindicação das filhas de Zelofeade sobre direitos de herança,Filhas de Zelofeade / Moisés,Moabe,Planície,,
c. 1406 a.C.,c. 1406 a.C.,Visão da Terra do Monte Nebo e sepultura divina de Moisés,Moisés / Josué,Moabe,Monte Nebo,,
c. 1406 a.C.,c. 1370 a.C.,Conquista de Canaã,Josué,Canaã,,,
c. 1406 a.C.,c. 1406 a.C.,"Profecia de Balaão (""Uma estrela procederá de Jacó, um cetro se levantará"")",Balaão / Balaque,Moabe,,,
,,,,,,,
c. 1406 a.C.,c. 1406 a.C.,Comissionamento divino de Josué e ordem de travessia,Josué e Deus,Transjordânia / Benjamim,Sitim (Moabe),"Após a morte de Moisés, Deus ordena a Josué que se levante e passe o Jordão, prometendo que nenhum inimigo subsistiria diante dele e exigindo coragem e meditação na Lei.",Josué 1:1-18
c. 1406 a.C.,c. 1406 a.C.,Missão dos dois espias e proteção de Raabe em Jericó,Dois espias e Raabe,Benjamim,Jericó,Josué envia secretamente dois espias a Jericó; a prostituta Raabe os esconde sob manojos de linho no eirado e obtém a promessa de salvação para sua família com o cordão encarnado.,Josué 2:1-24
c. 1406 a.C.,c. 1406 a.C.,Travessia miraculosa do Rio Jordão a seco,"Josué, Sacerdotes e Povo de Israel",Benjamim,Rio Jordão / Adam,"Assim que os pés dos sacerdotes que levavam a Arca tocaram as águas na época da colheita, as águas pararam e se levantaram num montão perto de Adam, permitindo a travessia a seco.",Josué 3:1-17
c. 1406 a.C.,c. 1406 a.C.,Edificação dos dois memoriais de doze pedras,Josué e doze homens de Israel,Benjamim,Rio Jordão / Gilgal,"Doze pedras são tiradas do meio do leito seco do Jordão e erguidas no acampamento de Gilgal, e outras doze pedras são colocadas no leito do rio como testemunho perpétuo.",Josué 4:1-24
c. 1406 a.C.,c. 1406 a.C.,Circuncisão da nova geração e celebração da Páscoa,Josué e Povo de Israel,Benjamim,Gilgal (Gibeate-Haralote),"A geração nascida no deserto é circuncidada para remover o opróbrio do Egito. O maná cessa no dia seguinte à celebração da Páscoa, e o povo passa a comer do fruto da terra.",Josué 5:1-12
c. 1406 a.C.,c. 1406 a.C.,Aparição do Príncipe do Exército do Senhor,Josué e o Príncipe do Exército,Benjamim,Arredores de Jericó,"Perto de Jericó, Josué vê um homem com a espada desembainhada na mão; ao saber que era o Príncipe do Exército do Senhor, Josué prostra-se e tira as sandálias dos pés.",Josué 5:13-15
c. 1406 a.C.,c. 1406 a.C.,"Cerco, queda das muralhas e destruição de Jericó","Josué, Sacerdotes, Exército e Raabe",Benjamim,Jericó,"Por seis dias o povo rodeia a cidade uma vez ao dia; no 7º dia, rodeiam 7 vezes, os sacerdotes tocam as cornetas, o povo grita e as muralhas caem. A cidade é consagrada ao anátema e Raabe é salva.",Josué 6:1-27
c. 1406 a.C.,c. 1406 a.C.,O pecado de Acã e a humilhante derrota em Ai,"Josué, Acã e 3.000 guerreiros",Benjamim,Ai,"Acã rouba escondido uma capa babilônica, prata e ouro do anátema de Jericó; a ira de Deus se acende e 3.000 israelitas são derrotados e perseguidos pelos homens de Ai, matando 36 deles.",Josué 7:1-15
c. 1406 a.C.,c. 1406 a.C.,Descoberta do anátema e execução no Vale de Acor,"Josué, Acã e a Tribo de Judá",Judá / Benjamim,Vale de Acor,"Por sorteio tribal, a culpa recai sobre Acã; ele confessa o roubo, as coisas são tiradas de sua tenda e ele é apedrejado e queimado com sua família e bens sob um grande montão de pedras.",Josué 7:16-26
c. 1406 a.C.,c. 1406 a.C.,Estratégia de emboscada e vitória total sobre Ai,Josué e Exército de Israel,Benjamim,Ai,"Josué atrai os guerreiros de Ai para longe da cidade com uma falsa retirada, enquanto uma emboscada noturna de 30.000 homens entra em Ai, ateia fogo e liquida os inimigos entre dois fogos.",Josué 8:1-29
c. 1406 a.C.,c. 1406 a.C.,"Construção do altar, cópia da Lei e bênçãos/maldições",Josué e Todo o Israel,Efraim / Manassés,Monte Ebal / Monte Gerizim,"Josué edifica um altar de pedras toscas no Monte Ebal, escreve ali uma cópia da Lei de Moisés e lê todas as bênçãos e maldições para o povo disposto entre os dois montes.",Josué 8:30-35
c. 1405 a.C.,c. 1405 a.C.,A astúcia e o pacto enganoso dos gibeonitas,"Josué, Príncipes de Israel e Gibeonitas",Benjamim,Gilgal / Gibeão,"Com roupas velhas, pães mofados e odres rotos, os habitantes de Gibeão fingem vir de terra distante; os líderes israelitas não consultam a Deus e fazem aliança de paz com eles.",Josué 9:1-27
c. 1405 a.C.,c. 1405 a.C.,Batalha de Gibeão e o milagre do Sol e da Lua parados,"Josué, 5 Reis Amorreus e Povo de Israel",Benjamim,Gibeão / Vale de Ajalom / Bet-Orom,"Cinco reis amorreus atacam Gibeão por causa do pacto; Josué marcha de noite, Deus lança grandes pedras de saraiva do céu e, à oração de Josué, o Sol e a Lua se detêm por quase um dia inteiro.",Josué 10:1-15
c. 1405 a.C.,c. 1405 a.C.,Execução dos cinco reis e Campanha do Sul,Josué e Exército de Israel,Judá / Simeão,Caverna de Maquedá / Libna / Laquis / Hebrom / Debir,"Os cinco reis amorreus (Jerusalém, Hebrom, Jarmute, Laquis e Eglom) são tirados da caverna de Maquedá, pisados nos pescoços pelos capitães e enforcados em madeiros; o Sul é conquistado.",Josué 10:16-43
c. 1400 a.C.,c. 1400 a.C.,Batalha das Águas de Merom (Campanha do Norte),Josué e Jabim (Rei de Hazor),Naftali / Aser,Águas de Merom,"Jabim forma uma imensa coligação militar com reis do norte, cavalos e multidão de carros de guerra; Josué faz um ataque surpresa, jarreta os cavalos e queima os carros de guerra.",Josué 11:1-15
c. 1400 a.C.,c. 1400 a.C.,Incêndio da metropolis de Hazor e balanço das vitórias,Josué,Naftali,Hazor,"Josué toma Hazor, a principal cidade-estado do norte, passa o seu rei ao fio da espada e queima a cidade a fogo, totalizando a derrota de 31 reis cananeus ao longo das campanhas.",Josué 11:16-23; Josué 12:1-24
c. 1395 a.C.,c. 1395 a.C.,Concessão de Hebrom a Calebe e expulsão dos anaquins,Calebe (85 anos) e Josué,Judá,Hebrom (Ciriate-Arba),"Reivindicando a promessa de Moisés feita 45 anos antes em Cades-Barneia, Calebe pede o monte fortificado habitado pelos gigantes anaquins e expulsa dali os três filhos de Anaque.",Josué 14:6-15; Josué 15:13-14
c. 1395 a.C.,c. 1395 a.C.,Conquista de Debir por Otniel e a herança das fontes de água,Otniel e Acsa (filha de Calebe),Judá,Debir (Ciriate-Sefer),"Calebe promete sua filha Acsa a quem tomar Ciriate-Sefer; seu sobrinho Otniel a toma, e Acsa pede e recebe de seu pai as fontes superiores e inferiores de água.",Josué 15:15-19
c. 1395 a.C.,c. 1395 a.C.,Armação do Tabernáculo em Siló e mapeamento final da terra,"Josué, Eleazar e as Tribos",Efraim,Siló,A Congregação reúne-se em Siló e erige ali a Tenda da Revelação; Josué envia 21 homens para mapear em sete partes o território restante para a partilha por sorteio.,Josué 18:1-10
c. 1395 a.C.,c. 1395 a.C.,Definição das 6 Cidades de Refúgio e 48 Cidades Levitivas,"Josué, Eleazar e Levitas",Várias Tribos,"Quedes, Siquém, Hebrom, Bezer, Ramote, Golã","Designam-se as cidades de refúgio para o homicida involuntário escapar do vingador do sangue, e sorteiam-se 48 cidades com seus campos em redor para as famílias da Tribo de Levi.",Josué 20:1-9; Josué 21:1-45
c. 1393 a.C.,c. 1393 a.C.,Despedida das tribos transjordânicas e a crise do Altar de Ed,"Fineias, Tribos do Leste e Tribos do Oeste",Benjamim / Transjordânia,Margens do Rio Jordão,"Rúben, Gade e meia tribo de Manassés constroem um grande altar junto ao Jordão; as tribos ocidentais temem apostasia e enviam Fineias, mas esclarece-se que o altar era apenas um testemunho (Ed).",Josué 22:1-34
c. 1390 a.C.,c. 1390 a.C.,Primeiro discurso de despedida de Josué aos líderes,Josué (idoso) e Anciãos de Israel,Efraim,Timnate-Sera / Siló,"Josué convoca os anciãos, cabeças e juízes, exortando-os a guardar a Lei, a não se misturarem com os povos sobreviventes e avisando que a violação da Aliança traria a ira divina.",Josué 23:1-16
c. 1390 a.C.,c. 1390 a.C.,Renovação da Aliança em Siquém e a escolha solene,Josué e Todo o Povo de Israel,Efraim / Manassés,Siquém,"Josué recapitula a história desde Abraão e faz o famoso desafio ao povo: ""Escolhei hoje a quem sirvais... porém eu e a minha casa serviremos ao Senhor"". Ergue uma grande pedra como testemunha.",Josué 24:1-28
c. 1390 a.C.,c. 1390 a.C.,"Morte de Josué, sepultamento de José e morte de Eleazar","Josué (110 anos), Eleazar e Povo",Efraim / Judá,Timnate-Sera / Siquém / Gibeá,"Josué morre aos 110 anos e é sepultado em sua herança em Timnate-Sera; os ossos de José (trazidos do Egito) são enterrados em Siquém, e morre também o sumo sacerdote Eleazar.",Josué 24:29-33
,,,,,,,
,,,,,,,
c. 1406 a.C.,c. 1370 a.C.,Sumo Sacerdócio de Eleazar,Eleazar (Sumo Sacerdote),Canaã,,,
c. 1406 a.C.,c. 1406 a.C.,Águas de Meribá (Moisés fere a rocha e é punido),Moisés / Arão,Cades-Barneia,Meribá,,
c. 1406 a.C.,c. 1406 a.C.,Travessia do Rio Jordão,Josué,Canaã,Gilgal,,
c. 1406 a.C.,c. 1406 a.C.,Queda de Jericó,Josué,Canaã,Jericó,,
c. 1405 a.C.,c. 1405 a.C.,O Pecado de Acã e a Conquista de Ai,Josué / Acã,Canaã,Ai,,
c. 1400 a.C.,c. 1395 a.C.,Engano dos Gibeonitas,Josué e gibeonitas,Canaã,Gibeão,,
c. 1400 a.C.,c. 1395 a.C.,Engano dos Gibeonitas e o Sol parando no céu,Josué,Canaã,Gibeão,,
c. 1400 a.C.,c. 1395 a.C.,Batalha onde a Lua parou,Josué,Canaã,Vale de Ajalom,,
c. 1400 a.C.,c. 1395 a.C.,"Local da descida e da perseguição dos inimigos, onde caiu uma forte chuva de granizo",Josué,Canaã,Bete-Horom e Azeca,,
c. 1395 a.C.,c. 1370 a.C.,Divisão da Terra Prometida entre as Doze Tribos,Josué / Eleazar,Canaã,,,
c. 1395 a.C.,c. 1395 a.C.,Líder da Tribo de Judá na partilha da terra,Calebe (filho de Jefoné),Canaã,,,
c. 1395 a.C.,c. 1395 a.C.,Líder da Tribo de Simeão na partilha da terra,Semuel (filho de Amiúde),Canaã,,,
c. 1395 a.C.,c. 1395 a.C.,Líder da Tribo de Benjamim na partilha da terra,Elidade (filho de Cislom),Canaã,,,
c. 1395 a.C.,c. 1395 a.C.,Líder da Tribo de Dã na partilha da terra,Buqui (filho de Jogli),Canaã,,,
c. 1395 a.C.,c. 1395 a.C.,Líder da Tribo de Manassés na partilha da terra,Haniel (filho de Efode),Canaã,,,
c. 1395 a.C.,c. 1395 a.C.,Líder da Tribo de Efraim na partilha da terra,Quemuel (filho de Siftã),Canaã,,,
c. 1395 a.C.,c. 1395 a.C.,Líder da Tribo de Zebulom na partilha da terra,Elizafã (filho de Parnaque),Canaã,,,
c. 1395 a.C.,c. 1395 a.C.,Líder da Tribo de Issacar na partilha da terra,Paltiel (filho de Azã),Canaã,,,
c. 1395 a.C.,c. 1395 a.C.,Líder da Tribo de Aser na partilha da terra,Ahiúde (filho de Selomi),Canaã,,,
c. 1395 a.C.,c. 1395 a.C.,Líder da Tribo de Naftali na partilha da terra,Pedahel (filho de Amiúde),Canaã,,,
c. 1370 a.C.,c. 1370 a.C.,Transição para o governo dos Anciãos (Zeqenim) após a morte de Josué,Anciãos das Tribos,Canaã,,,
c. 1400 a.C.,c. 1390 a.C.,Calebe prometeu dar sua filha Acsa em casamento a quem conquistasse Debir,Otniel ben Quenaz / Calebe / Acsa,Judá,Quiriate-Sefer (Debir),"Calebe prometeu dar sua filha Acsa em casamento a quem conseguisse conquistar a cidadela cananeia de Debir. Otniel aceitou o desafio, liderou o ataque e tomou a cidade. Ele casou-se com Acsa e recebeu como dote terras na região do Neguebe, junto com fontes de água essenciais.",
c. 1382 a.C.,c. 1374 a.C.,Período de Opressão Arã-Naaraim (mesopotâmia),Israel / Cusã-Risataim,Israel,,"Por terem se afastado de suas práticas religiosas e adotado o culto aos deuses locais (Baal e Aserá), os israelitas foram entregues ao domínio de Cusã-Risataim, o poderoso rei de Arã-Naaraim (região correspondente ao noroeste da Mesopotâmia, atual Síria/Iraque). O povo viveu sob forte subjugação e cobrança de tributos por oito anos.",
c. 1374 a.C.,c. 1374 a.C.,O Chamado e o Conflito Armado,Otniel ben Quenaz / Cusã-Risataim,,,"Diante do clamor de socorro dos israelitas, o Espírito do Senhor veio sobre Otniel. Ele assumiu formalmente a liderança política e jurídica do povo (tornou-se juiz) e organizou um exército. Otniel marchou para a guerra e derrotou as forças de Cusã-Risataim, expulsando os opressores definitivamente e restaurando a soberania de Israel.",
c. 1374 a.C.,c. 1334 a.C.,O Período de Magistratura e Paz,Otniel ben Quenaz,Judá,Hebrom / Debir,"Após a vitória militar, Otniel governou e pacificou a terra por quatro décadas. Sob sua liderança estável, a ordem social e religiosa foi mantida até a sua morte por causas naturais (por volta de 1334 a.C.), momento em que a nação voltou a cair em declínio, abrindo caminho para a opressão de Eglom, o rei moabita.",
c. 1370 a.C.,c. 1330 a.C.,Sumo Sacerdócio de Fineias,Fineias (Sumo Sacerdote),Canaã,,,
c. 1360 a.C.,c. 1360 a.C.,Roubo e devolução das 1.100 moedas de prata de Mica,Mica e sua mãe,Canaã,Região montanhosa de Efraim,"Mica devolveu as pratas roubadas da própria mãe; para consagrar o valor, sua mãe mandou fundir uma imagem esculpida e uma fundida.",Juízes 17:1-4
c. 1360 a.C.,c. 1360 a.C.,Erigimento do santuário doméstico e consagração do filho,Mica e seu filho,Canaã,Região montanhosa de Efraim,"Mica estabeleceu um santuário privado contendo um efode e terafins, e consagrou um de seus filhos para atuar como seu sacerdote.",Juízes 17:5-6
c. 1360 a.C.,c. 1360 a.C.,Contratação do levita Jônatas para sacerdote privado,Mica e Jônatas (levita de Belém),Canaã,Região montanhosa de Efraim,"Um jovem levita vindo de Belém de Judá foi contratado por Mica por dez moedas de prata anuais, vestuário e sustento para agir como seu sacerdote.",Juízes 17:7-13
c. 1360 a.C.,c. 1360 a.C.,Expedição dos cinco espias de Dã e consulta ao oráculo,Cinco espias da tribo de Dã e Jônatas,Canaã,Região montanhosa de Efraim,"Buscando território por falta de herança consolidada, espias danitas passaram pela casa de Mica e pediram ao levita que consultasse a Deus sobre a viagem.",Juízes 18:1-6
c. 1360 a.C.,c. 1360 a.C.,Saque dos objetos sagrados e aliciamento do sacerdote levita,"600 guerreiros danitas, Mica e Jônatas",Canaã,Região montanhosa de Efraim,"A tropa danita tomou o ídolo, o efode e os terafins da casa de Mica, convencendo o levita a ser sacerdote de uma tribo inteira em vez de uma só casa.",Juízes 18:14-26
c. 1360 a.C.,c. 1360 a.C.,Conquista de Laís e instituição do culto idólatra no Norte,Tribo de Dã e Jônatas (descendente de Moisés),Canaã (Extremo Norte),Laís (renomeada para Dã),"Os danitas atacaram a cidade isolada de Laís, queimaram-na, reconstruíram-na como Dã e erigiram a imagem esculpida, mantendo o culto por gerações.",Juízes 18:27-31
c. 1343 a.C.,c. 1325 a.C.,A Invasão e a Opressão Moabita,Eglom,Benjamim / Moabe,Jericó,"O rei Eglom, de Moabe, aliou-se aos amalequitas e amonitas para cruzar o rio Jordão e invadir Israel. Ele capturou Jericó e estabeleceu ali uma residência fortificada de verão para controlar as tribos israelitas e coletar pesados tributos anuais de submissão.",
c. 1334 a.C.,c. 1325 a.C.,Invasão e incursões rápidas dos filisteus,Filisteus,Dã / Judá / Efraim,,"Israel sofria com incursões rápidas e violentas de saqueadores filisteus. De acordo com o posterior Cântico de Débora (Juízes 5:6), nos dias de Sangar ""os caminhos principais estavam desertos, e os viajantes seguiam por trilhas sinuosas"". O comércio havia parado e os camponeses não podiam cultivar suas terras devido ao medo dos ataques. Além disso, o povo havia sido desarmado pelos opressores.",
c. 1325 a.C.,c. 1325 a.C.,Preparação da Arma Secreta,Eúde,Benjamim,Jericó,"Diante do clamor do povo, Eúde é escolhido como o libertador. Sendo canhoto, ele cria uma estratégia audaciosa: fabrica secretamente uma espada de dois gumes com cerca de 45 centímetros (um côvado). Ele amarra a arma na sua coxa direita, debaixo de suas vestes — um local incomum onde as guardas reais do palácio não costumavam revistar, pois esperavam armas no lado esquerdo (para guerreiros destros).",
c. 1325 a.C.,c. 1325 a.C.,Entrega do Tributo e o Retorno Solitário,Eúde,Benjamim,Jericó / Gilgal,"Eúde lidera a comitiva israelita que vai até o palácio de Eglom em Jericó para entregar o tributo anual. Após a entrega, ele despacha os carregadores de volta para casa. No entanto, ao chegar à região de Gilgal (onde ficavam os monumentos de pedra), Eúde decide dar meia-volta sozinho e regressar ao palácio real.",
c. 1325 a.C.,c. 1325 a.C.,Assassinato do Rei Eglom,Eúde / Eglom,Benjamim,Jericó Sala de Verão,"Eúde consegue uma audiência privada com o rei dizendo ter ""uma palavra secreta de Deus"". O obeso rei Eglom se levanta do trono em respeito. Sendo canhoto, Eúde saca rapidamente a espada com a mão esquerda e a crava com tanta força na barriga do rei que o cabo entra junto com a lâmina, e a gordura do monarca fecha-se sobre a arma. Eúde tranca as portas do quarto por dentro e foge.",
c. 1325 a.C.,c. 1325 a.C.,Fuga de Eúde,Eúde,Efraim,Seirá,"Enquanto os servos do rei hesitam em abrir a porta trancada (achando que o rei estava fazendo suas necessidades), Eúde ganha tempo e foge além dos monumentos de pedra de Gilgal, refugiando-se em Seirá e subindo as montanhas seguras de Efraim.",Juízes 3:26-27
